kind,feature_set,layer,representation,accuracy,roc_auc,inverse_auc,precision,recall,f1,train_size,test_size,train_pos,train_neg,test_pos,test_neg,mean_prob_y1,mean_prob_y0
hidden_state_probe,hidden_state,-10,last_token,0.7795275590551181,0.8138006571741512,0.18619934282584882,0.7894736842105263,0.9036144578313253,0.8426966292134831,289,127,189,100,83,44,0.8951964133281807,0.4641134528973235
hidden_state_probe,hidden_state,-10,mean_pool,0.6220472440944882,0.5999452354874042,0.4000547645125958,0.7011494252873564,0.7349397590361446,0.7176470588235294,289,127,189,100,83,44,0.7411674801300012,0.5895859540490496
hidden_state_probe,hidden_state,-8,last_token,0.7795275590551181,0.7894304490690032,0.21056955093099683,0.7777777777777778,0.927710843373494,0.8461538461538461,289,127,189,100,83,44,0.9099000861908179,0.5310661781683824
hidden_state_probe,hidden_state,-8,mean_pool,0.6377952755905512,0.5892661555312158,0.41073384446878425,0.7032967032967034,0.7710843373493976,0.735632183908046,289,127,189,100,83,44,0.7616999803295961,0.5983168151916959
hidden_state_probe,hidden_state,-6,last_token,0.7401574803149606,0.80065717415115,0.19934282584885,0.7358490566037735,0.9397590361445783,0.8253968253968254,289,127,189,100,83,44,0.9201985233967135,0.6050455635247324
hidden_state_probe,hidden_state,-6,mean_pool,0.6456692913385826,0.5690032858707557,0.43099671412924434,0.7159090909090909,0.7590361445783133,0.7368421052631579,289,127,189,100,83,44,0.7496169064360082,0.5797610630536817
hidden_state_probe,hidden_state,-4,last_token,0.7086614173228346,0.7798466593647317,0.22015334063526826,0.7346938775510204,0.8674698795180723,0.7955801104972375,289,127,189,100,83,44,0.8654933432376903,0.5880052500043843
hidden_state_probe,hidden_state,-4,mean_pool,0.6062992125984252,0.5596933187294633,0.44030668127053674,0.6813186813186813,0.7469879518072289,0.7126436781609196,289,127,189,100,83,44,0.7476873293056914,0.6461251990036319
hidden_state_probe,hidden_state,-2,last_token,0.7244094488188977,0.7962760131434831,0.20372398685651694,0.7352941176470589,0.9036144578313253,0.8108108108108109,289,127,189,100,83,44,0.8776124055107651,0.6021914999426012
hidden_state_probe,hidden_state,-2,mean_pool,0.6141732283464567,0.5928258488499453,0.40717415115005473,0.7023809523809523,0.7108433734939759,0.7065868263473054,289,127,189,100,83,44,0.7128164982109898,0.5535003192877007
hidden_state_probe,hidden_state,-1,last_token,0.7244094488188977,0.7806681270536693,0.21933187294633072,0.7352941176470589,0.9036144578313253,0.8108108108108109,289,127,189,100,83,44,0.8838151713457665,0.5968545882638945
hidden_state_probe,hidden_state,-1,mean_pool,0.6377952755905512,0.6150054764512597,0.3849945235487403,0.7078651685393258,0.7590361445783133,0.7325581395348837,289,127,189,100,83,44,0.7626224772753623,0.5755327934756622
